54,651,*Balout, Lionel*,**,**
54,652,*Balout, Lionel*,**,**
54,653,*Balout, Lionel*,**,**
54,654,*Balout, Lionel*,**,**
54,655,*Balout, Lionel*,**,**
54,656,*Balout, Lionel*,**,**
54,657,*Balout, L.*,**,**
54,657,*Mauny, R.*,**,**
54,658,*Balout, L.*,**,**
54,658,*Mauny, R.*,**,**
54,659,*Balout, L.*,**,**
54,659,*Tixier, J.*,**,**
54,660,*Heim de Balsac, Henri*,**,**
54,661,*Heim de Balsac, Henri*,**,**
54,662,*Heim de Balsac, Henri*,**,**
54,662,*Guislain, Rene%Ae*,**,**
54,663,*Heim de Balsac, Henri*,**,**
54,663,*Lamotte, M.*,**,**
54,664,*Heim de Balsac, Henri*,**,**
54,664,*Lamotte, M.*,**,**
54,665,*Bandi, H. G.*,**,**
54,666,*Bandi, H. G.*,**,**
54,666,*Lu%Fdin, C.*,**,**
54,666,*Mamber, W.*,**,**
54,666,*Schaub, S.*,**,**
54,666,*Schmid, E.*,**,**
54,666,*Welten, M.*,**,**
54,669,*Bandi, H. G.*,**,**
54,669,*Maringer, J.*,**,**
54,670,*Ba%Anesz, Ladislav*,**,**
54,671,*Banner, J.*,**,**
54,672,*Barbeau, Marius*,**,**
54,673,*Sueiro, M. B. Barbosa*,**,**
54,674,*Barbour, G. B.*,**,**
54,675,*Barbour, G. B.*,**,**
54,676,*Barbour, G. B.*,**,**
54,677,*Barbour, G. B.*,**,**
