99,524,*ALMERA, JAIME*,**,**
99,525,*ALMERA, JAIME*,**,**
99,526,*ALMERA, JAIME*,**,**
99,527,*ALMERA, J.*,**,**
99,527,*ARTURO BOFILL Y POCH*,**,**
99,528,*ALMERA, J.*,**,**
99,528,*ARTURO BOFILL Y POCH*,**,**
99,529,*ALMERA, J.*,**,**
99,529,*ARTURO BOFILL Y POCH*,**,**
99,530,*ALMERA, J.*,**,**
99,530,*D. M. FAURA I SANS*,**,**
99,531,*ALSBERG, MORITZ*,**,**
99,532,*ALSBERG, MORITZ*,**,**
99,533,*ALSBERG, MORITZ*,**,**
